A,B,C,D,E,F,Apop,Cpop,Total users,Temperature,Conditions,Time index
4.2,4.0,2.4,0.4,0.0,0.6,0.4832321997522676,0.7839122560219141,11.6,26.6,1.4,53
3.6,2.8,1.4,0.8,0.6,3.4,0.4832321997522676,0.7839122560219141,12.6,27.0,1.0,54
2.2,2.2,4.6,0.8,0.6,1.8,0.45907058976465426,0.7839122560219141,12.2,26.4,1.0,55
2.6,1.4,2.6,0.4,1.0,4.4,0.45303018726775096,0.7839122560219141,12.4,26.0,1.0,56
4.6,1.4,3.6,0.6,0.4,2.8,0.45303018726775096,0.7839122560219141,13.4,26.0,1.0,57
4.6,2.8,4.2,0.2,0.8,3.4,0.45303018726775096,0.7421816601953295,16.0,26.0,1.0,58
7.0,4.2,5.4,0.0,1.6,3.2,0.45303018726775096,0.5752592768889914,21.4,26.6,1.0,59
3.4,4.2,5.0,0.2,1.0,3.4,0.45303018726775096,0.5752592768889914,17.2,27.0,1.0,60
2.8,4.8,4.6,0.6,1.6,5.2,0.45303018726775096,0.5752592768889914,19.6,27.0,1.6,61
3.4,4.8,3.4,0.4,4.0,5.8,0.45303018726775096,0.5752592768889914,21.8,27.0,2.0,62
5.0,4.0,3.8,1.2,2.2,5.0,0.5320420368093313,0.6129936660072455,21.2,27.6,2.0,63
4.8,3.0,4.4,1.4,4.2,4.2,0.8480894349756521,0.7639312224802616,22.0,28.0,2.0,64
4.0,2.2,3.4,0.6,4.4,4.6,0.8480894349756521,0.7639312224802616,19.2,28.0,2.0,65
6.6,2.6,1.8,1.8,2.6,2.8,0.8480894349756521,0.7639312224802616,18.2,28.0,2.0,66
5.6,3.6,3.0,0.2,2.0,5.0,0.8480894349756521,0.7639312224802616,19.4,28.0,2.0,67
6.6,3.0,3.8,0.2,0.4,4.4,0.8480894349756521,0.7645474518212737,18.4,28.0,2.0,68
3.4,3.4,3.6,1.2,2.0,5.6,0.8534468498040099,0.7670123691853219,19.2,28.6,2.0,69
4.4,2.2,4.4,1.0,0.4,7.0,0.8748765091174405,0.7670123691853219,19.4,29.0,2.0,70
9.8,1.8,3.2,1.6,1.6,3.2,0.8748765091174405,0.7670123691853219,21.2,29.0,2.0,71
9.0,1.6,1.2,1.8,2.2,3.0,0.8748765091174405,0.7670123691853219,18.8,29.0,2.0,72
9.4,0.2,2.2,1.2,1.4,3.6,0.8748765091174405,0.7352239993523004,18.0,29.0,2.0,73
9.0,1.0,3.0,0.6,0.4,4.2,0.8748765091174405,0.6080705200202146,18.2,29.0,2.0,74
7.2,2.4,1.4,0.8,1.0,4.6,0.881157874648699,0.6015082713939699,17.4,29.0,2.0,75
10.6,1.0,1.4,1.2,1.2,0.6,0.9062833367737335,0.5752592768889914,16.0,29.0,2.0,76
5.2,2.2,1.8,1.0,0.6,1.0,0.9062833367737335,0.5752592768889914,11.8,28.4,2.6,77
4.4,3.6,2.4,1.4,0.0,3.0,0.9062833367737335,0.5752592768889914,14.8,28.0,3.0,78
4.2,4.2,2.8,1.0,0.0,2.2,0.9062833367737335,0.5752592768889914,14.4,28.0,3.0,79
5.4,2.0,3.4,1.6,0.6,5.0,0.9062833367737335,0.6247844673215147,18.0,28.0,3.0,80
6.6,2.2,2.4,2.2,1.0,5.2,0.9062833367737335,0.8228852290516082,19.6,27.4,3.0,81
5.0,1.8,1.2,1.8,0.4,3.2,0.9062833367737335,0.8228852290516082,13.4,27.0,3.0,82
4.4,1.0,1.4,2.0,0.2,3.6,0.15101006242258366,0.8228852290516082,12.6,26.4,3.0,83
3.8,2.8,2.2,2.0,0.8,3.2,0.7550503121129183,0.8228852290516082,14.8,26.0,3.0,84
3.4,0.8,1.8,0.8,1.6,2.6,0.7550503121129183,0.8228852290516082,11.0,25.4,3.0,85
3.6,1.2,2.0,1.2,0.6,2.8,0.7550503121129183,0.8228852290516082,11.4,25.0,3.0,86
2.8,2.2,1.0,0.6,0.4,2.8,0.7550503121129183,0.8228852290516082,9.8,24.4,3.0,87
2.6,1.8,0.6,0.6,1.2,0.8,0.7550503121129183,0.6246345201776197,7.6,24.0,3.0,88
1.8,2.0,0.0,0.4,1.2,2.6,0.7550503121129183,0.8429081508122938,8.0,22.8,2.4,89
0.2,1.0,0.4,0.2,0.4,1.8,0.7550503121129183,0.8429081508122938,4.0,22.0,2.0,90
0.4,0.0,1.0,0.0,0.6,1.6,0.13342263090653939,0.8429081508122938,3.6,22.6,2.6,91
0.6,0.2,1.2,0.0,0.4,0.4,0.6671131545326969,0.8429081508122938,2.8,23.0,3.0,92
0.0,0.0,0.0,0.0,0.0,0.4,0.6671131545326969,0.8429081508122938,0.4,23.0,3.0,93
0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,23.0,3.0,94
0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,22.4,3.0,95
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,3.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.4,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,6
