A,B,C,D,E,F,Apop,Bpop,Total users,Temperature,Conditions,Time index
4.333333333333333,2.3333333333333335,1.0,0.3333333333333333,1.0,0.6666666666666666,0.0,0.0,9.666666666666666,25.0,2.0,48
1.0,1.3333333333333333,1.3333333333333333,2.0,1.0,0.3333333333333333,0.0,0.0,7.0,25.0,2.0,49
1.3333333333333333,2.6666666666666665,0.6666666666666666,1.0,1.6666666666666667,0.0,0.0,0.0,7.333333333333333,25.0,2.0,50
1.6666666666666667,0.3333333333333333,0.0,0.0,2.0,1.3333333333333333,0.16107739991742256,0.26130408534063804,5.333333333333333,25.666666666666668,2.0,51
3.6666666666666665,2.0,1.0,1.3333333333333333,1.3333333333333333,2.6666666666666665,0.48323219975226767,0.7839122560219142,12.0,26.0,2.0,52
4.666666666666667,2.3333333333333335,1.0,0.6666666666666666,5.333333333333333,0.0,0.48323219975226767,0.7839122560219142,14.0,26.666666666666668,1.3333333333333333,53
3.6666666666666665,1.6666666666666667,1.0,4.333333333333333,3.6666666666666665,1.3333333333333333,0.48323219975226767,0.7839122560219142,15.666666666666666,27.0,1.0,54
2.6666666666666665,5.333333333333333,1.3333333333333333,2.3333333333333335,3.6666666666666665,1.0,0.45303018726775096,0.7839122560219142,16.333333333333332,26.333333333333332,1.0,55
3.3333333333333335,2.6666666666666665,1.0,4.0,2.0,1.3333333333333333,0.45303018726775096,0.7839122560219142,14.333333333333334,26.0,1.0,56
5.333333333333333,4.333333333333333,1.0,4.0,2.0,0.6666666666666666,0.45303018726775096,0.7839122560219142,17.333333333333332,26.0,1.0,57
5.333333333333333,6.0,0.3333333333333333,4.333333333333333,4.666666666666667,0.6666666666666666,0.45303018726775096,0.7143612629776065,21.333333333333332,26.0,1.0,58
8.333333333333334,7.666666666666667,0.3333333333333333,4.0,6.0,2.3333333333333335,0.45303018726775096,0.5752592768889914,28.666666666666668,26.666666666666668,1.0,59
4.333333333333333,6.666666666666667,1.0,4.666666666666667,6.333333333333333,1.6666666666666667,0.45303018726775096,0.5752592768889914,24.666666666666668,27.0,1.0,60
3.3333333333333335,6.333333333333333,0.6666666666666666,7.666666666666667,5.666666666666667,2.0,0.45303018726775096,0.5752592768889914,25.666666666666668,27.0,1.6666666666666667,61
4.333333333333333,3.6666666666666665,0.6666666666666666,7.0,6.666666666666667,5.333333333333333,0.45303018726775096,0.5752592768889914,27.666666666666668,27.0,2.0,62
5.333333333333333,5.333333333333333,1.3333333333333333,5.666666666666667,4.666666666666667,2.6666666666666665,0.5847166031703847,0.6381499254194147,25.0,27.666666666666668,2.0,63
6.0,5.0,2.6666666666666665,5.666666666666667,3.6666666666666665,5.0,0.8480894349756523,0.7639312224802616,28.0,28.0,2.0,64
5.0,4.333333333333333,1.3333333333333333,4.666666666666667,3.3333333333333335,5.333333333333333,0.8480894349756523,0.7639312224802616,24.0,28.0,2.0,65
8.333333333333334,2.3333333333333335,3.0,3.0,3.3333333333333335,3.6666666666666665,0.8480894349756523,0.7639312224802616,23.666666666666668,28.0,2.0,66
